function,optimiser,converged,iterations,final_value,runtime_ms,config
beale,cSGD_learn_diag_log,True,138,9.922474123409883e-08,47.09768295288086,"{'learning_rate': 0.1463114845386417, 'momentum': 0.5488105119862867, 'xi': 0.27982272717049295, 'beta': 0.7056040305896171, 'metric_lr': 0.00017324270154949107, 'metric_reg': 2.6539376439360543e-05, 'metric_clip': 4.031384441857476}"
beale,cSGD_offdiag_m_theta,True,143,7.009107091045756e-08,110.85104942321777,"{'learning_rate': 0.025985463579381238, 'momentum': 0.8472308801999697, 'xi': 0.02769746101872912, 'gamma': 0.08509171635207807, 'weight_decay': 0.00033805014255510856, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
beale,cSGD_offdiag_theta_m,True,97,9.947904493037312e-08,68.0854320526123,"{'learning_rate': 0.0007099471073192483, 'momentum': 0.6911728161039525, 'xi': 0.00014096549651733745, 'gamma': 0.006094723888452004, 'weight_decay': 0.005289909840168951, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
rosenbrock,cSGD_offdiag_theta_0,True,261,9.904103695447733e-08,187.11543083190918,"{'learning_rate': 0.0010659545720248032, 'momentum': 0.9125634635419739, 'xi': 0.0020838087826827605, 'gamma': 0.025007243847341685, 'weight_decay': 0.002029286815577298, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
rosenbrock,cSGD_offdiag_m_l,True,148,5.3283149789735945e-08,97.95665740966797,"{'learning_rate': 0.0031239223290794047, 'momentum': 0.9563820293827896, 'xi': 0.05345497384672475, 'gamma': 0.09039767101297082, 'weight_decay': 0.006072060903617945, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
rosenbrock,cSGD_offdiag_m_0,True,148,1.2583614085645602e-08,105.73744773864746,"{'learning_rate': 0.02192609733620394, 'momentum': 0.9516702800608463, 'xi': 0.41797380972103265, 'gamma': 0.6174985842418199, 'weight_decay': 0.005136595466493095, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
rosenbrock,cSGD_fixed_log,False,1000,0.0008262690829681783,91.9487476348877,"{'learning_rate': 0.0007401746855693698, 'momentum': 0.831404262779261, 'xi': 0.03430297665268903, 'beta': 0.0}"
rosenbrock,cSGD_learn_scalar,True,83,6.117501499836564e-08,56.3051700592041,"{'learning_rate': 0.036776451014190165, 'momentum': 0.9410257420603415, 'xi': 0.25269943226124775, 'beta': 0.8643610189265143, 'metric_lr': 0.003398836687787056, 'metric_reg': 0.00034388729064691406, 'metric_clip': 1.2837288645350937}"
rosenbrock,cSGD_offdiag_m_m,True,599,9.946258537405985e-08,410.0193977355957,"{'learning_rate': 0.0001543070984479431, 'momentum': 0.8656523884016298, 'xi': 0.00041167673059062785, 'gamma': 0.005707411333362436, 'weight_decay': 0.0077727452158997505, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
rosenbrock,cSGD_learn_diag,True,124,1.2493044512658733e-08,61.087846755981445,"{'learning_rate': 0.020928583432419823, 'momentum': 0.9710616940487652, 'xi': 0.010752235868731311, 'beta': 0.8731644901069251, 'metric_lr': 2.3858176859271502e-05, 'metric_reg': 7.646197731552614e-05, 'metric_clip': 4.965620442649183}"
rosenbrock,cSGD_learn_scalar_log,False,1000,8.754168852794396e-05,104.04419898986816,"{'learning_rate': 1.755197073995364, 'momentum': 0.6248272397372903, 'xi': 1.5109330261674463, 'beta': 0.7462921756215442, 'metric_lr': 0.007665128204660197, 'metric_reg': 9.334064019986358e-05, 'metric_clip': 1.780971951192178}"
rosenbrock,cSGD_offdiag_l_l,False,1000,1.994997319473547e-06,818.047285079956,"{'learning_rate': 0.0002784953823282295, 'momentum': 0.895981320874741, 'xi': 0.0009516543216162137, 'gamma': 0.02151686257993293, 'weight_decay': 0.004847177339879286, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
rosenbrock,Muon,True,142,6.807752138877369e-08,104.33101654052734,"{'learning_rate': 0.07516024732593066, 'adam_b1': 0.9500736271079503, 'adam_b2': 0.9950935631547448, 'eps': 3.7473334349124125e-10, 'beta': 0.9710476605845765}"
rosenbrock,cSGD_offdiag_theta_l,True,270,7.905598304474165e-08,221.47083282470703,"{'learning_rate': 0.00011586317966466133, 'momentum': 0.9421788624772279, 'xi': 0.0018484727084363425, 'gamma': 0.002337309252019767, 'weight_decay': 0.0019854120998896298, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
rosenbrock,cSGD_offdiag_0_theta,True,694,8.902701798183037e-08,526.4956951141357,"{'learning_rate': 4.150338395114697e-05, 'momentum': 0.9690288904734514, 'xi': 0.00015332414735849212, 'gamma': 0.00043008649351664106, 'weight_decay': 0.0038636735464670823, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
rosenbrock,cSGD_offdiag_l_m,False,1000,4.461644128565458e-06,678.9579391479492,"{'learning_rate': 0.0036973981297398657, 'momentum': 0.8762319417335592, 'xi': 0.001740146653284549, 'gamma': 0.23345868178170162, 'weight_decay': 0.0050996760748777915, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
rosenbrock,SGD,True,359,9.714076213366845e-08,24.119853973388672,"{'learning_rate': 0.003600220130154547, 'momentum': 0.9027631356069223}"
rosenbrock,cSGD_offdiag_theta_theta,False,1000,2.6299822849096114e-07,872.0428943634033,"{'learning_rate': 0.001282526684872082, 'momentum': 0.8901920804778948, 'xi': 0.00011679835594743155, 'gamma': 0.03824185320017964, 'weight_decay': 0.008945262423571637, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
rosenbrock,cSGD_offdiag_l_theta,False,1000,3.1728460242033942e-06,657.1009159088135,"{'learning_rate': 0.004471446311682287, 'momentum': 0.9499982375636428, 'xi': 0.00048609519885736815, 'gamma': 0.18137618225095958, 'weight_decay': 0.006570328024563657, 'base_mode': 'grad', 'use_momentum_for_update': True}"
rosenbrock,cSGD_offdiag_l_0,False,1000,3.750598055036641e-05,754.4205188751221,"{'learning_rate': 0.0019183684945897578, 'momentum': 0.7779512900594006, 'xi': 0.007324817584012095, 'gamma': 0.18577518458591996, 'weight_decay': 0.005983785227410311, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
