function,optimiser,converged,iterations,final_value,runtime_ms,config
himmelblau,cSGD_offdiag_0_theta,True,48,7.233239778153763e-07,38.266658782958984,"{'learning_rate': 0.006507724658921386, 'momentum': 0.32821241412118196, 'xi': 0.0007518610122749188, 'gamma': 0.6956745991277997, 'weight_decay': 0.003999761490871421, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
himmelblau,cSGD_offdiag_m_m,True,149,8.93160510650387e-07,100.9054183959961,"{'learning_rate': 0.023866443184945123, 'momentum': 0.0014327483157893328, 'xi': 0.005829845461406663, 'gamma': 1.9466143881066018, 'weight_decay': 0.0002731951164174329, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
himmelblau,cSGD_offdiag_theta_m,True,105,2.4842315803246796e-07,66.49661064147949,"{'learning_rate': 0.006193885519660361, 'momentum': 0.3456027943656369, 'xi': 0.001627068362726882, 'gamma': 0.22924161370145546, 'weight_decay': 0.003771250998562521, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
himmelblau,cSGD_offdiag_m_0,True,95,1.2841801048439193e-07,68.8779354095459,"{'learning_rate': 0.006502406807303407, 'momentum': 0.5477317580124033, 'xi': 0.0013684348928110377, 'gamma': 0.3626488056847839, 'weight_decay': 0.007329142991695053, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
himmelblau,cSGD_offdiag_theta_0,True,38,2.0068113197774982e-07,26.00550651550293,"{'learning_rate': 0.02899141493164454, 'momentum': 0.5361748704905417, 'xi': 0.0012630799426872979, 'gamma': 0.581976394847209, 'weight_decay': 0.0030346098463320116, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
himmelblau,cSGD_learn_scalar,True,26,2.8075766110470383e-07,48.607826232910156,"{'learning_rate': 0.7893413434136998, 'momentum': 0.3348343520106805, 'xi': 0.007464407319152442, 'beta': 0.9270115116632331, 'metric_lr': 0.32409276964301476, 'metric_reg': 2.269255249437916e-05, 'metric_clip': 2.4192056771254937}"
himmelblau,cSGD_fixed_rms,True,25,9.350617018148477e-08,47.76620864868164,"{'learning_rate': 0.25277113860381223, 'momentum': 0.21524266591270413, 'xi': 0.00784694932937426, 'beta': 0.0, 'beta_rms': 0.8549878493490708, 'eps': 2.2236531974508767e-08}"
himmelblau,cSGD_fixed,True,87,4.885775960084771e-07,43.073177337646484,"{'learning_rate': 0.00687877928248328, 'momentum': 0.534108554545506, 'xi': 0.0022539137923578735, 'beta': 0.0}"
himmelblau,cSGD_offdiag_l_l,True,403,8.096045386695421e-07,255.77259063720703,"{'learning_rate': 0.02580281566147768, 'momentum': 0.4322054120755051, 'xi': 0.019193092031116386, 'gamma': 1.2355640664396685, 'weight_decay': 0.005476079860846768, 'base_mode': 'grad', 'use_momentum_for_update': False}"
himmelblau,Adam,True,20,3.35565300817202e-08,6.0482025146484375,"{'learning_rate': 0.28729454965860735, 'b1': 0.23664558371830807, 'b2': 0.8513680738944642, 'eps': 1.6923211397066023e-09}"
